,00003,00004,00041,00042,00086,00096,00127,00128,00147,00148,00169,00170,00199,00200
00003,64,64,,64,,64,,,,64,,,64,64
00004,,64,64,64,,64,,,64,64,,,,64
00041,,64,64,64,,64,,,64,64,,,,64
00042,64,64,,64,,64,,,,64,,,64,64
00086,,,,,64,64,,,,,,,,
00096,,64,,64,64,64,,64,,64,,64,,64
00127,,,,,,64,64,64,64,64,,,,64
00128,,,,,,64,,64,,64,,,,64
00147,,,,64,,64,,64,,64,,,,
00148,,,,64,,64,,64,,64,,,,
00169,,,,,,64,,,,64,64,64,64,64
00170,,,,,,64,,,,64,,64,,64
00199,,64,,,,64,,,,,,64,,64
00200,,64,,,,64,,,,,,64,,64
